question,ground_truth,answer,contexts
医院说我住的这个床位费超标了，多出来的这部分钱医保管吗？,超限价部分由个人承担，它构成了住院个人负担费用的一部分。,,"一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。

哈尔滨城乡居民门诊特殊疾病待遇（器官移植术后抗排异治疗），适用人群为学生儿童。
**覆盖范围**：肝、肾、肺、心脏移植术后抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**统筹基金支付比例**：80%。
**支付限额**：
1. **术后2年以内（含2年）**：年度最高支付限额 6.3万元，统筹金每人每季度最多支付不超过 15750元。
2. **术后2年以上**：年度最高支付限额 4.9万元，统筹金每人每季度最多支付不超过 12250元。

哈尔滨城乡居民门诊特殊疾病待遇（器官移植术后抗排异治疗），适用人群为成人居民。
**覆盖范围**：肝、肾、肺、心脏移植术后抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**统筹基金支付比例**：80%。
**支付限额**：
1. **术后2年以内（含2年）**：年度最高支付限额 6.3万元，统筹金每人每季度最多支付不超过 15750元。
2. **术后2年以上**：年度最高支付限额 4.9万元，统筹金每人每季度最多支付不超过 12250元。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。"
我舅不幸查出了癌症，需要在门诊定期做化疗，这些化疗和放疗的费用统筹基金管吗？,统筹基金支付项目包括恶性肿瘤的放疗、化疗、免疫治疗、内分泌治疗及抗疼痛治疗等费用。," 
如果是在职人员或退休人员，在哈尔滨定点医院进行恶性肿瘤的放疗、化疗，属于门诊特殊疾病治疗，统筹基金是给报的。在职报销 90%，退休报销 93%。如果他是学生或者儿童，报销比例会略低一些（如 80%）。具体的支付项目通常还包括相关的检查费、药费和部分材料费。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤）。
**病种范围**：恶性肿瘤放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%

哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤），适用人群为学生儿童。
**覆盖范围**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%"
退休职工得癌症在门诊开药和检查，医保能给报销多少？,退休人员在恶性肿瘤门诊治疗，统筹金支付比例为 93%。," 
退休人员患恶性肿瘤门诊治疗，统筹基金支付比例为 93%。在职人员支付 90%。具体按病历处方发生的合规医疗费用执行。","哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。"
我在职，因为肿瘤在门诊做免疫治疗，报销比例是多少？,在职人员恶性肿瘤门诊待遇的支付比例为 90%。," 
回答: 在职人员恶性肿瘤门诊治疗，统筹基金支付比例为 90%。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤）。
**病种范围**：恶性肿瘤放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤），适用人群为学生儿童。
**覆盖范围**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%"
癌症门诊报销除了药费，那些一次性材料和检查费管不管？,管的，统筹金支付项目包括与病情相关的一次性医用材料、检查检验和服务设施等费用。," 
","哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤）。
**病种范围**：恶性肿瘤放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%

哈尔滨医保门诊慢特病费用零星报销所需材料清单。
1. 医院或药店现金购药收据。
2. 购药明细（收据上体现药品名称、单价及数量的，无需另外提供明细）。
3. 处方底方。
4. 社保卡银行功能未处于激活有效状态，须另提供哈尔滨银行账户。
5. 社保卡或身份证（代办人须提供代办人身份证）。
**特殊补充材料**：
- **特殊门诊**：需提供特殊疾病门诊备案表。
- **血液透析**：需提供血液透析记录单。

哈尔滨医保大学生和学生儿童意外伤害异地门诊报销所需材料。
1. 门诊诊断书或门诊病历。
2. 医疗费票据。
3. 医疗费用明细。
4. 处方底方。
5. 报销人社保卡或身份证（社保卡银行功能未处于激活有效状态，须另提供哈尔滨银行账户）。
6. 代办人须提供代办人身份证。"
肿瘤门诊报销比例在二级医院和三级医院有区别吗？,根据规定，恶性肿瘤门诊待遇的比例为在职 90%，退休 93%，未区分医院等级。," 
回答: 是的。哈尔滨城镇职工恶性肿瘤门诊特殊疾病，二级医院支付比例为 80%，三级医院支付比例为 90%。如果患者是哈尔滨城乡居民，二级医院支付 80%，三级医院支付 70%。","哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤）。
**病种范围**：恶性肿瘤放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%

哈尔滨城乡居民门诊特殊疾病待遇（恶性肿瘤），适用人群为学生儿童。
**覆盖范围**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%

哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。"
我隔壁邻居得了尿毒症，一直在社区医院做透析，他这种普通血透一次医保给多少钱？,二级及以下定点医院血液透析组套标准为 400 元/次，统筹基金支付 390 元/次。," 
assistant
哈尔滨城镇职工尿毒症患者在无等级/一级/二级医院进行血液透析组套治疗，统筹基金支付 390 元/次（个人自付 10 元）。如果是在三级医院，则统筹支付 420 元/次（个人自付 20 元）。如果是哈尔滨城乡居民，支付比例和金额略有不同。","哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。"
我大爷是尿毒症，他想去省里的三级大医院做透析，那边医保给报多少？,三级定点医院血液透析组套标准为 440 元/次，统筹基金支付 420 元/次。," 
回答: 在哈市三级医院，血液透析组套统筹支付 420 元/次（个人付 20 元）。如果是哈尔滨以外的异地三级医院，政策可能有所不同，具体需咨询当地经办机构。建议先办理转诊手续。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。"
尿毒症患者在三级医院透析，如果一次费用是 440 元，个人得掏多少钱？,三级医院统筹基金支付 420 元，个人需支付 20 元。," 
回答: 在三级医院进行血液透析，统筹基金支付 420 元/次。个人需支付 20 元/次。","哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。"
尿毒症透析这种门诊项目，在职和退休的待遇是一样的吗？,是的，血液透析组套的支付标准按医院等级设定，统筹金支付金额不分在职和退休。," 
回答: 在职人员报销 90%，退休人员报销 93%。退休人员略高。但如果是异地直接结算，则两者均为 95%（城镇职工）。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **透析门诊用药**：在职人员报销 90%，退休人员报销 93%。
2. **腹膜透析组套**：定额标准为每人每日 160元，统筹基金支付 95%（即支付152元/日）。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。

哈尔滨医保异地就医尿毒症透析治疗结算标准（重要提示）。
1. **直接结算待遇**：异地就医直接结算时，待遇标准不设起付线（0门槛费），统筹基金按比例支付，不区分就医地医院级别，医保政策范围内项目不区分甲乙类。
   - **城镇职工**支付比例：95%。
   - **城乡居民**支付比例：90%。
2. **手工报销待遇**：未在异地直接结算的，可以现金垫付后回参保地报销，但待遇支付标准将参照参保地待遇标准执行（即可能不如直接结算优惠）。
3. **查询途径**：通过“国家医保服务平台 APP”查询异地联网定点医药机构。"
在二级医院做一次透析，听说个人只要花 10 块钱，是真的吗？,是真的，二级及以下医院标准 400 元，统筹金支付 390 元，个人自付 10 元。," 
回答: 是的。在哈市二级及以下定点医院进行血液透析，统筹基金支付 380 元/次，您个人仅需承担 20 元（400-380=20）。如果是二级及以上专科医院，个人自付 10 元。","哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。"
尿毒症患者有时候需要做“血液透析滤过”，这个在三级医院是怎么报销的？,三级医院血液透析滤过标准为 800 元/次，统筹基金支付 80%。," 
在我市三级定点医院进行血液透析滤过，统筹基金支付 700 元/次中的 80%。例如，三级医院标准为 800 元/次，统筹支付 640 元/次，个人自付 160 元。[1]","哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。"
“血液灌流”挺贵的，咱们哈尔滨医保给报多少钱？,二级及以下医院支付 900 元/次，三级定点医院支付 930 元/次。," 
回答: 血液灌流（含灌流器）在二级及以下医院统筹支付 890 元/次，在三级医院统筹支付 910 元/次。注意，这已经是支付后的实收金额，无需再额外计算比例。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨医保辅助生殖项目支付标准与限制（部分）。
1. **胚胎培养**：限价 3100元/次。备注：囊胚培养加收 1900元。限门诊或日间病房支付，基金支付限 1次/人。
2. **胚胎移植**：限价 2200元/次。备注：冻融胚胎加收 1200元。限门诊或日间病房支付，基金支付限 1次/人。
3. **组织/细胞活检（辅助生殖）**：限价 1150元/个胚胎(卵)。限特定指征（如单基因病患者、染色体结构异常等）。限门诊或日间病房支付，基金支付限 1次/人。
4. **人工授精**：限价 800元/次。限门诊或日间病房支付，基金支付限 1次/人。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。"
三级医院做一次血液灌流要 1040 元，那统筹金能帮我付掉多少？,三级定点医院血液灌流统筹基金支付金额为 930 元/次。," 
回答: 统筹基金支付 930 元。注意，这是一次性定额支付，不按比例计算。您个人需要承担 110 元。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为学生儿童。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%
**定点药店待遇**：在定点零售药店发生的费用，支付 80%。
**支付限额**：统筹金年度最多支付不超过 2400元。

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为成人居民。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%
**定点药店待遇**：在定点零售药店发生的费用，支付 70%。
**支付限额**：统筹金年度最多支付不超过 2400元。"
血液透析滤过在不同等级医院的报销比例有变化吗？,无论二级及以下还是三级医院，血液透析滤过的统筹基金支付比例均为 80%。,回答: 有变化。二级及以下医院统筹支付 80%，三级医院统筹支付 70%。退休人员按 80% 执行。,"哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **血液透析滤过**：二级及以下医院 700元/次，三级医院 800元/次，统筹基金均支付 80%。
2. **血液灌流**（包括血液透析和灌流器费用）：二级及以下医院 1000元/次，支付 900元/次；三级医院 1040元/次，支付 930元/次。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症）。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付70%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 80%，三级医院报销 70%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城乡居民门诊特殊疾病待遇（尿毒症），适用人群为学生儿童。
1. **血液透析组套**：无等级/一级/二级医院 400元/次（统筹支付380元），三级医院 440元/次（统筹支付400元）。
2. **血液透析滤过**：无等级/一级/二级医院 700元/次（统筹支付80%），三级医院 800元/次（统筹支付80%）。
3. **血液灌流**（含器械费）：无等级/一级/二级医院 1000元/次（统筹支付890元），三级医院 1040元/次（统筹支付910元）。
4. **透析门诊用药**：无等级/一级医院报销 90%，二级医院报销 90%，三级医院报销 80%。
5. **腹膜透析组套**：每人每日 160元，统筹基金支付 90%。

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。"
